exchange,instrument_token,tradingsymbol,ema_50,ema_200,rsi_14,roc_10,roc_20,sma_20,stochk_14_3_3,stochd_14_3_3,stochh_14_3_3,ppo_12_26_9,ppoh_12_26_9,ppos_12_26_9,macd_12_26_9,macdh_12_26_9,macds_12_26_9,bbl_20_2_2,bbm_20_2_2,bbu_20_2_2,bbb_20_2_2,bbp_20_2_2,atrr_14,rsi_signal_ema_3,volume_sma_20,price_vol_correlation,percent_b,ema_50_slope,distance_from_ema_200,risk_adjusted_return,rvol
NSE,1025,21STCENMGM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSE,1025,21STCENMGM,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
NSE,1025,21STCENMGM,,,22.127659574464673,,,,,,,,,,,,,,,,,,,61.063829787232336,,,,,,,
NSE,1025,21STCENMGM,,,22.48289345063219,,,,,,,,,,,,,,,,,,,41.77336161893226,,,,,,,
NSE,1025,21STCENMGM,,,53.39301053392889,,,,,,,,,,,,,,,,,,,47.58318607643058,,,,,,,
NSE,1025,21STCENMGM,,,49.753011872496224,,,,,,,,,,,,,,,,,,,48.668098974463405,,,,,,,
NSE,1025,21STCENMGM,,,45.805235472004206,,,,,,,,,,,,,,,,,,,47.23666722323381,,,,,,,
NSE,1025,21STCENMGM,,,49.631085340928045,,,,,,,,,,,,,,,,,,,48.43387628208093,,,,,,,
NSE,1025,21STCENMGM,,,35.7969989955881,,,,,,,,,,,,,,,,,,,42.115437638834514,,,,,,,
NSE,1025,21STCENMGM,,,53.93269870304912,,,,,,,,,,,,,,,,,,,48.02406817094182,,,,,,,
NSE,1025,21STCENMGM,,,41.53463773697299,-2.064572809136828,,,,,,,,,,,,,,,,,,44.7793529539574,,0.6384696106970881,,,,,
NSE,1025,21STCENMGM,,,43.75198569576748,-1.8331503841931807,,,,,,,,,,,,,,,,,,44.26566932486244,,0.6753395245077646,,,,,
NSE,1025,21STCENMGM,,,56.424035946350614,2.173182480116498,,,,,,,,,,,,,,,,,,50.34485263560653,,0.04011430278296938,,,,,
NSE,1025,21STCENMGM,,,64.97057705879212,4.166666666666665,,,,,,,,,,,,,,,,,2.9378571428571445,57.65771484719932,,-0.14779488878202804,,,,,
NSE,1025,21STCENMGM,,,53.27743365996083,0.5627275736511146,,,,,,,,,,,,,,,,,2.985867346938777,55.467574253580075,,-0.19111975913400597,,,,,
NSE,1025,21STCENMGM,,,47.79853167039322,-0.39823008849557456,,,62.08995380271705,,,,,,,,,,,,,,3.0175911078717212,51.63305296198665,,-0.18246150729384955,,,,,
NSE,1025,21STCENMGM,,,47.90343308225008,-0.07766559414178761,,,40.99773242630385,,,,,,,,,,,,,,3.0484774573094557,49.76824302211837,,-0.16660807214133497,,,,,
NSE,1025,21STCENMGM,,,47.54331839611705,-0.4204935266128247,,,35.78231292517003,46.28999971806364,-10.507686792893608,,,,,,,,,,,,3.0735862103587808,48.65578070911771,,-0.23297111848200813,,,,,
NSE,1025,21STCENMGM,,,44.17162446508076,0.20190689848568996,,,32.56235827664392,36.44746787603926,-3.885109599395342,,,,,,,,,,,,3.1011871953331545,46.41370258709924,,-0.3265350655855919,,,,,
NSE,1025,21STCENMGM,,,36.59213170589765,-3.537190082644621,,90.15299999999999,21.133786848072496,29.82615268329548,-8.692365835222983,,,,,,,87.89681691672347,90.15299999999999,92.40918308327652,5.005231291862779,-0.0790753461827387,3.0075309670950716,41.50291714649845,6249.049999999999,-0.6191647587520848,-0.0790753461827387,,,,0.5661660572407007
NSE,1025,21STCENMGM,,,33.83286141663703,-2.7248261942139567,-4.733142982648805,89.9375,12.992363054474827,22.22950272639708,-9.237139671922252,,,,,,,87.2617541620188,89.9375,92.6132458379812,5.950233969103425,-0.09562832066384024,3.0155644694454242,37.66788928156774,5687.25,-0.5878127008870175,-0.09562832066384024,,,-136.16029698754707,0.8883027825398918
NSE,1025,21STCENMGM,,,31.411218143325087,-3.8354019903835477,-5.59824368825466,89.68249999999999,7.504133398351245,13.876761100299523,-6.372627701948279,,,,,,,86.54159248783094,89.68249999999999,92.82340751216904,7.0045048078924,-0.08621592417678774,3.0394527216278946,34.53955371244641,5330.65,-0.7084146474518961,-0.08621592417678774,,,-158.3998835593147,0.7376211156237983
NSE,1025,21STCENMGM,,,30.320532182914384,-6.095822826444457,-4.055113700011192,89.5015,8.93106843353373,9.809188295453268,-0.8781198619195383,,,,,,,85.88004768882631,89.5015,93.12295231117368,8.0924952345462,-0.03176180010938026,2.974491812940189,32.4300429476804,5232.549999999999,-0.4949963238455877,-0.03176180010938026,,,-116.7663285859387,0.3512627686309735
NSE,1025,21STCENMGM,,,29.842282295668287,-8.064516129032258,-4.233870967741937,89.3125,6.872852233677023,7.769351355187332,-0.8964991215103097,,,,,,,85.27206294703811,89.3125,93.35293705296189,9.047864639242864,0.02820697983585706,2.917742397730175,31.136162621674345,5011.7,-0.41341333590748197,0.02820697983585706,,,-124.06714452363796,0.4730929624678253
NSE,1025,21STCENMGM,,,38.2970688242305,-4.86065393899496,-4.32527860531833,89.1165,11.65856188808922,9.154160851766658,2.5044010363225624,,,,,,,84.96633817690265,89.1165,93.26666182309735,9.314014403836213,0.2100715462940685,2.927903655035162,34.716615722952426,4813.25,0.05303646896031705,0.2100715462940685,,,-128.0933227506246,1.1624162468186776
NSE,1025,21STCENMGM,,,47.52714074184463,-1.8769435806308439,-2.2676991150442602,89.01400000000001,22.80425338779739,13.77855583652121,9.025697551276181,-1.36619552516058,0.0,-1.36619552516058,-1.4748136183306002,,,84.8961753315616,89.01400000000001,93.13182466843843,9.252083196886817,0.4193749062351626,2.9566248225326515,41.12187823239853,5210.05,0.6509780099605387,0.4193749062351626,,,-67.76349007397532,2.662162551223117
NSE,1025,21STCENMGM,,,40.48772292109277,-3.864090606262496,-3.938755131476753,88.8365,28.89937106918231,21.12072878168964,7.778642287492669,-1.6018421832345424,-0.18851732645916974,-1.4133248567753727,-1.4655742670117036,,,84.61644624628897,88.8365,93.05655375371103,9.500720432954985,0.23264558561420182,2.8790087637803197,40.80480057674565,4934.35,0.7261763441234832,0.23264558561420182,,,-118.44959403162079,0.2669044555007245
NSE,1025,21STCENMGM,,,39.284068408767176,-4.167129681075675,-4.5701006971340155,88.63,27.421383647798663,26.375002701592788,1.0463809462058755,-1.751070907633854,-0.27019684068678496,-1.480874066947069,-1.4687562650722583,,,84.32261588725397,88.63,92.93738411274602,9.719923530962477,0.22256943687379438,2.8990795663674396,40.04443449275641,4607.950000000001,0.7197511336392985,0.22256943687379438,,,-135.9484881660832,0.5755270782018033
NSE,1025,21STCENMGM,,,33.7810222765811,-5.39572372103436,-5.204711160964667,88.398,15.61080970266723,23.97718813988273,-8.3663784372155,-2.069468034709466,-0.47087517420991754,-1.5985928604995485,-1.5925170183667632,,,83.72429032723863,88.398,93.07170967276136,10.574243020795407,0.08405632011553159,2.9341453116269083,36.91272838466875,4659.550000000001,0.6819283207419854,0.08405632011553159,,,-149.9074154474096,0.921762831174684
NSE,1025,21STCENMGM,,,29.41975023043856,-5.403244231208594,-8.749311294765837,88.001,7.969300268704986,17.000497873056958,-9.031197604351972,-2.470109423769064,-0.6972132506156123,-1.7728961731534518,-1.806944765040626,,,82.84453078775388,88.001,93.15746921224613,11.719115037888484,-0.0033482976754590863,2.8459920750821293,33.16623930755365,4270.7,0.738251871476918,-0.0033482976754590863,,,-254.5792290369082,0.15899032945418784
NSE,1025,21STCENMGM,,,25.903051469968258,-6.45533141210374,-9.004261045077373,87.59949999999999,1.3969732246798598,8.325694398684025,-6.928721174004165,-2.8399877252610986,-0.853673241686117,-1.9863144835749815,-2.0867734011521435,,,81.64138841291046,87.59949999999999,93.55761158708953,13.603072134177784,-0.04123692597292312,2.7612783554334057,29.534645388760957,3913.4,0.7712037574256646,-0.04123692597292312,,,-264.6222835051123,0.2141360453825318
NSE,1025,21STCENMGM,,,22.99623789600092,-7.534883720930238,-11.081292631108141,87.104,0.0,3.122091164461615,-3.122091164461615,-3.1383388350890935,-0.9216194812112897,-2.216719353877804,-2.4122599576366497,,,80.21177890814961,87.104,93.99622109185039,15.825268855277342,-0.050185484398316806,2.6804727586167347,26.26544164238094,3788.4,0.7511847487570704,-0.050185484398316806,,,-328.742154604271,0.8465315172632245
NSE,1025,21STCENMGM,,,28.948917053914453,-5.837711617046118,-11.577677886196676,86.576,7.9754601226994,3.12414444912642,4.85131567357298,-3.315930111242692,-0.8793686058919103,-2.436561505350782,-2.5496382003793485,,,79.39624659564352,86.576,93.75575340435647,16.586013223887626,0.0873117315976162,2.7168675615726823,27.607179348147696,4067.55,0.7958435080876124,0.0873117315976162,,,-343.68245796319155,1.8298484345613453
NSE,1025,21STCENMGM,,,25.862260761483995,-7.5672514619883025,-15.021505376344086,85.87749999999998,11.345223328528176,6.440227817075859,4.904995511452317,-3.4989920083293944,-0.8499444023828899,-2.6490476059465045,-2.7574457899882674,-0.8002543141017828,-1.9571914758864846,78.61152485987998,85.87749999999998,93.14347514011999,16.921720218031517,0.028796901451627558,2.6385198786032054,26.734720054815845,4006.7499999999995,0.8352025244159827,0.028796901451627558,,,-449.93012162596744,0.3179634367005678
NSE,1025,21STCENMGM,,,23.242803840605724,-10.690808441932875,-15.03181917928462,85.1925,11.345223328528176,10.221968926585252,1.1232544019429245,-3.787535133596632,-0.9107900221201022,-2.87674511147653,-3.0156717272603544,-0.8467842010990956,-2.168887526161259,77.44807755882543,85.1925,92.93692244117456,18.180995841593013,-0.0005215081490446788,2.661482744417263,24.988761947710785,3955.3999999999996,0.8682261442833606,-0.0005215081490446788,,,-437.3742717985103,0.8651463821610963
NSE,1025,21STCENMGM,,,24.127643998834493,-12.15619694397283,-13.804975566414933,84.571,7.934519044469961,10.208321900508771,-2.2738028560388104,-3.9867228529761944,-0.8879821931997314,-3.098740659776463,-3.1700576128466196,-0.8009360693482885,-2.369121543498331,76.47737443806288,84.571,92.66462556193711,19.140427716207963,0.0699702224466409,2.689233976958887,24.55820297327264,4390.35,0.7037479825531813,0.0699702224466409,,,-398.4049595123209,3.257826824740624
